id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
352399443,Plumbo,Drømmeland,De 15 beste,Male/Male Group,2015,Rock/Folk Rock/General Folk Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/60s
289037347,Сварга,Там где дремлют леса,Ветры прощают всё...,"",2011,Rock/Folk Rock/General Folk Rock,"",""
280387131,Лесик BAND,Моя Мері,Добра Мадонна,"",1996,Rock/Folk Rock/General Folk Rock,"",""
279921109,Калевала,Ведьма,Ведьма,"",2010,Rock/Folk Rock/General Folk Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
279921108,Калевала,Сварожья ночь,Ведьма,"",2010,Rock/Folk Rock/General Folk Rock,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/120s
279921101,Калевала,Больше нечего терять,Ведьма,"",2010,Rock/Folk Rock/General Folk Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
279921099,Калевала,Ярило,Кудель белоснежного льна,"",2008,Rock/Folk Rock/General Folk Rock,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
279921081,Волколак,Храбрый Викинг,Слава Яриле,"",0,Rock/Folk Rock/General Folk Rock,"",""
279921079,Волколак,Слава Яриле,Слава Яриле,"",0,Rock/Folk Rock/General Folk Rock,"",""
271279133,Гайдамаки,Тіні забутих предків,Гайдамаки,Male/Male Group,2013,Rock/Folk Rock/General Folk Rock,Aggressive/Dark Hard Beat,Fast Tempo/Fast/140s
261845080,Гайдамаки,Тіні забутих предків,Гайдамаки,Male/Male Group,2013,Rock/Folk Rock/General Folk Rock,Aggressive/Dark Hard Beat,Fast Tempo/Fast/140s
243542586,Гайдамаки,Тіні забутих предків,Гайдамаки,Male/Male Group,2013,Rock/Folk Rock/General Folk Rock,Aggressive/Dark Hard Beat,Fast Tempo/Fast/140s
243542583,Гайдамаки,Тіні забутих предків,Гайдамаки,Male/Male Group,2013,Rock/Folk Rock/General Folk Rock,Aggressive/Dark Hard Beat,Fast Tempo/Fast/140s
